text,label
"Achilles tendon rupture, left lower extremity.  Primary repair left Achilles tendon.  The patient was stepping off a hilo at work when he felt a sudden pop in the posterior aspect of his left leg.  The patient was placed in posterior splint and followed up at ABC orthopedics for further care.",1
"Cystoscopy, cystocele repair, BioArc midurethral sling.",1
Colonoscopy to evaluate prior history of neoplastic polyps.,1
SPARC suburethral sling due to stress urinary incontinence.,1
Penile injury and continuous bleeding from a penile laceration.,1
"Normal review of systems template.  Negative weakness, negative fatigue, native malaise, negative chills, negative fever, negative night sweats, negative allergies.",0
"Patient with abdominal pain, nausea, vomiting, fever, altered mental status.",0
She is a 28-year-old G1 at approximately 8 plus weeks presented after intractable nausea and vomiting with blood-tinged vomit starting approximately worse over the past couple of days.  This is patient's fourth trip to the emergency room and second trip for admission.,0
History and Physical for a 69-year-old Caucasian male complaining of difficulty breathing for 3 days.,0
"CT head without contrast, CT facial bones without contrast, and CT cervical spine without contrast.",0
Patient with significant angina with moderate anteroapical ischemia on nuclear perfusion stress imaging only.  He has been referred for cardiac catheterization.,1
"Removal of cystic lesion, removal of teeth, modified Le Fort I osteotomy.",0
"Patient felt dizzy, had some cold sweats, mild shortness of breath, no chest pain, no nausea or vomiting, but mild diarrhea, and sat down and lost consciousness for a few seconds.",0
"The patient is a 17-year-old female, who presents to the emergency room with foreign body and airway compromise and was taken to the operating room.  She was intubated and fishbone.",0
Flexible sigmoidoscopy.  The Olympus video colonoscope then introduced into the rectum and passed by directed vision to the distal descending colon.,1
Acute appendicitis with perforation.  Laparoscopic appendectomy.   A CT scan of abdomen showed evidence of appendicitis with perforation.,1
"Esophagogastroduodenoscopy with gastric biopsies.  Antral erythema; 2 cm polypoid pyloric channel tissue, questionable inflammatory polyp which was biopsied; duodenal erythema and erosion.",1
Probable Coumadin hypersensitivity.,0
"The patient is a 16-month-old boy, who had a circumcision performed approximately 4 days before he developed penile swelling and fever and discharge.",1
"Closing wedge osteotomy, fifth metatarsal with internal screw fixation, right foot.",1
Ultrasound Abdomen - elevated liver function tests.,1
"A white male veteran with multiple comorbidities, who has a history of bladder cancer diagnosed approximately two years ago by the VA Hospital.",0
Total colonoscopy and polypectomy,1
A 61-year-old white male with a diagnosis of mantle cell lymphoma status post autologous transplant with BEAM regimen followed by relapse.  Allogeneic peripheral stem cell transplant from match-related brother and the patient is 53 months out from transplant.,0
Follow up update on patient with left carotid angioplasty and stent placement.,0
"Flexible fiberoptic bronchoscopy diagnostic with right middle and upper lobe lavage and lower lobe transbronchial biopsies.  Mild tracheobronchitis with history of granulomatous disease and TB, rule out active TB/miliary TB.",1
Left little finger extensor tendon laceration.  Repair of left little extensor tendon.,1
Shortness of breath for two weeks and a history of pneumonia.  CT angiography chest with contrast.  Axial CT images of the chest were obtained for pulmonary embolism protocol utilizing 100 mL of Isovue-300.,0
"A 49-year-old female with ankle pain times one month, without a specific injury.",0
Speech therapy discharge summary.  The patient was admitted for skilled speech therapy secondary to cognitive-linguistic deficits.,0
Transesophageal echocardiogram.   The transesophageal probe was introduced into the posterior pharynx and esophagus without difficulty.,1
"Obesity hypoventilation syndrome.  A 61-year-old woman with a history of polyarteritis nodosa, mononeuritis multiplex involving the lower extremities, and severe sleep apnea returns in followup following an overnight sleep study.",0
MRI Brain to evaluate sudden onset blindness - Basilar/bilateral thalamic strokes.,0
Initial evaulation - neck and back pain.,0
Direct-current cardioversion.  This is a 53-year-old gentleman with history of paroxysmal atrial fibrillation for 3 years.  Successful DC cardioversion of atrial fibrillation.,1
A 66-year-old female with knee osteoarthrosis who failed conservative management.,0
MRI left knee without contrast.,0
"Multiple contusions and abdominal pain, status post motor vehicle collision.",1
Acute on chronic renal failure and uremia.  Insertion of a right internal jugular vein hemodialysis catheter.,1
Anterior cervical discectomy and osteophytectomy.  Application of prosthetic interbody fusion device.  Anterior cervical interbody arthrodesis.  Anterior cervical instrumentation,1
An 80-year-old female with recent complications of sepsis and respiratory failure who is now receiving tube feeds.,0
"The patient is a 61-year-old lady who was found down at home and was admitted for respiratory failure, septic shock, acute renal failure as well as metabolic acidosis.",0
Left L4-L5 transforaminal neuroplasty with nerve root decompression and lysis of adhesions followed by epidural steroid injection.,1
"Arthroscopy with arthroscopic rotator cuff debridement, anterior acromioplasty, and Mumford procedure left shoulder.  Partial rotator cuff tear with impingement syndrome.  Degenerative osteoarthritis of acromioclavicular joint, left shoulder, rule out slap lesion.",1
Patient with a diagnosis of stroke.,0
"Bifrontal cranioplasty, cranial defect greater than 10 cm in diameter in the frontal region.",1
"Trigger thumb release.  Right trigger thumb.  The A-1 pulley was divided along its radial border, completely freeing the stenosing tenosynovitis (trigger release).",1
Adenosine with nuclear scan as the patient unable to walk on a treadmill.  Nondiagnostic adenosine stress test.  Normal nuclear myocardial perfusion scan.,0
"Occupational therapy discharge summary.  Traumatic brain injury, cervical musculoskeletal strain.",1
"A right-handed female with longstanding intermittent right low back pain, who was involved in a motor vehicle accident with no specific injury at that time.",1
Right L5-S1 intralaminar epidural steroid injection with 120 mg of Depo-Medrol under fluoroscopic guidance.  The patient is a 51-year-old female with back pain referring into the right leg.,1
"Moderately differentiated adenocarcinoma, 1+ enlarged prostate with normal seminal vesicles.",1
"Chronic eustachian tube dysfunction, chronic otitis media with effusion, recurrent acute otitis media, adenoid hypertrophy.",0
"History of polyps.  Total colonoscopy and photography.  Normal colonoscopy, left colonic diverticular disease.  3+ benign prostatic hypertrophy.",1
The patient was admitted after undergoing a drawn out process with a small bowel obstruction.,0
Selective coronary angiography.  Placement of overlapping 3.0 x 18 and 3.0 x 8 mm Xience stents in the proximal right coronary artery.  Abdominal aortography.,1
Discharge summary of a patient with depression and high risk behavior.,0
"Specimen - Lung, left lower lobe resection.  Sarcomatoid carcinoma with areas of pleomorphic/giant cell carcinoma and spindle cell carcinoma.  The tumor closely approaches the pleural surface but does not invade the pleura.",1
"Nausea, vomiting, diarrhea, and fever.",0
Endoscopic carpal tunnel release.  Left carpal tunnel syndrome.,1
Pediatric Gastroenterology - Rectal Bleeding Consult.,1
Right burr hole craniotomy for evacuation of subdural hematoma and placement of subdural drain.,1
Generalized abdominal pain with swelling at the site of the ileostomy.  CT abdomen with contrast and CT pelvis with contrast.  Axial CT images of the abdomen and pelvis were obtained utilizing 100 mL of Isovue-300.,0
Psychiatric Consultation of patient with anxiety.,0
1-year well child check.,1
"Cystourethroscopy, right retrograde pyelogram, right ureteral pyeloscopy, right renal biopsy, and right double-J 4.5 x 26 mm ureteral stent placement.  Right renal mass and ureteropelvic junction obstruction and hematuria.",1
"Patient with osteoarthritis and osteoporosis with very limited mobility, depression, hypertension, hyperthyroidism, right breast mass, and chronic renal insufficiency",0
Most commonly used phrases in physical exam.,0
Left breast cancer.  Nuclear medicine lymphatic scan.  A 16-hour left anterior oblique imaging was performed with and without shielding of the original injection site.,1
Patient with increased shortness of breath of one day duration.,0
"Right shoulder arthroscopy, subacromial decompression, distal clavicle excision, bursectomy, and coracoacromial ligament resection, carpal tunnel release, left knee arthroscopy, and partial medial and lateral meniscectomy.",1
"The patient is a 76-year-old male, with previous history of dysphagia, status post stroke.  A modified barium swallow study was ordered to objectively evaluate the patient's swallowing function and safety and to rule out aspiration.",0
Intractable nausea and vomiting/history of diabetic gastroparesis/multiple endoscopies revealing gastritis and esophagitis.,0
CT of abdomen with and without contrast.  CT-guided needle placement biopsy.,0
Bilateral breast MRI with & without IV contrast.,0
MRI Spine - T12-L5 epidural lipoma and thoracic spinal cord infarction vs. transverse myelitis.,0
A female with unknown gestational age who presents to the ED after a suicide attempt.,0
Dietary consultation for diabetes during pregnancy.,0
"Right total knee arthroplasty using a Biomet cemented components, 62.5-mm right cruciate-retaining femoral component, 71-mm Maxim tibial component, and 12-mm polyethylene insert with 31-mm patella.  All components were cemented with Cobalt G.",1
"Elevated BNP.  Diastolic heart failure, not contributing to his present problem. Chest x-ray and CAT scan shows possible pneumonia.  The patient denies any prior history of coronary artery disease but has a history of hypertension.",0
Left heart catheterization with left ventriculography and selective coronary angiography.  Percutaneous transluminal coronary angioplasty and stent placement of the right coronary artery.,1
This 34-year-old gentleman awoke this morning noting some itchiness to his back and then within very a short period of time realized that he had an itchy rash all over his torso and arms.,1
"Ivor-Lewis esophagogastrectomy, feeding jejunostomy, placement of two right-sided 28 French chest tubes, and right thoracotomy.",1
Patient in with mom for possible ear infection.,0
Thoracentesis.  Left pleural effusion.  Left hemothorax.,1
Elevated cholesterol and is on medication to lower it.,0
"Severe tonsillitis, palatal cellulitis, and inability to swallow.",0
"Caudate Nuclei atrophy, bilaterally, in patient with Huntington Disease.",0
Left heart catheterization with left ventriculography and selective coronary angiography.  Percutaneous transluminal coronary angioplasty and stent placement of the right coronary artery.,1
Rhabdomyosarcoma of the left orbit.  Left subclavian vein MediPort placement.  Needs chemotherapy.,1
"Excision of soft tissue mass, right foot.  The patient is a 51-year-old female with complaints of soft tissue mass over the dorsum of the right foot.",1
Dental restorations and extractions.  Dental caries.  He has had multiple severe carious lesions that warrant multiple extractions at this time.,0
"Normal female review of systems template.  Negative for fever, weight change, fatigue, or aching.",0
MRI brain (Atrophy Left fronto-temporal lobe) and HCT (Left frontal SDH),0
Ultrasound OB - followup for fetal growth.,0
Nipple areolar reconstruction utilizing a full-thickness skin graft and mastopexy,1
The patient continues to suffer from ongoing neck and lower back pain with no recent radicular complaints.,0
Sample progress note - Gen Med.,0
Consult for subcutaneous emphysema and a small right-sided pneumothorax secondary to trauma.,0
Preop evaluation regarding gastric bypass surgery.,0
Patient experiences a dull pain in his upper outer arm.  It occurs on a daily basis.  He also experiences an achy sensation in his right hand radiating to the fingers.  There is no numbness or paresthesias in the hand or arm.,0
Bilateral Screening Mammogram Full-Field Digital Mammography (FFDM) (Benign Findings),0
"Bunionectomy with distal first metatarsal osteotomy and internal screw fixation, right foot.  Proximal interphalangeal joint arthroplasty, bilateral fifth toes.  Distal interphalangeal joint arthroplasty, bilateral third and fourth toes.   Flexor tenotomy, bilateral third toes.",1
"Colonoscopy to cecum with snare polypectomy and esophagogastroduodenoscopy with biopsies.  Hematochezia, refractory dyspepsia, colonic polyps at 35 cm and 15 cm, diverticulosis coli, and acute and chronic gastritis.",1
Preoperative visit for weight management with laparoscopic gastric banding,1
"Atrial fibrillation and shortness of breath.  The patient is an 81-year-old gentleman with shortness of breath, progressively worsening, of recent onset. History of hypertension, no history of diabetes mellitus, ex-smoker, cholesterol status elevated, no history of established coronary artery disease, and family history positive.",0
"Male with a history of therapy-controlled hypertension, borderline diabetes, and obesity.  Risk factors for coronary heart disease.",1
Patient with complaint of symptomatic cholelithiasis.,0
Consultation for left foot pain.,0
Patient with a previous history of working in the coalmine and significant exposure to silica with resultant pneumoconiosis and fibrosis of the lung.,1
Leaking anastomosis from esophagogastrectomy.   Exploratory laparotomy and drainage of intra-abdominal abscesses with control of leakage.,1
"Cleft soft palate.  Repair of cleft soft palate and excise accessory ear tag, right ear.",1
"Torn lateral meniscus and chondromalacia of the patella, right knee.  Arthroscopic lateral meniscoplasty and patellar shaving of the right knee.",1
Extraction of teeth.  Incision and drainage (I&D) of left mandibular vestibular abscess adjacent to teeth #18 and #19.,0
"The patient is an 84-year-old female presented to emergency room with shortness of breath, fatigue, and tiredness.  Low-grade fever was noted last few weeks.  The patient also has chest pain described as dull aching type in precordial region.  No relation to exertion or activity.  No aggravating or relieving factors.",0
"Release of A1 pulley, right thumb.   Stenosing tendinosis, right thumb (trigger finger).  There was noted to be thickening of the A1 pulley.  There was a fibrous nodule noted within the flexor tendon of the thumb, which caused triggering sensation to the thumb.",1
Axial images through the cervical spine with coronal and sagittal reconstructions.,0
"Hypomastia.   Patient wants breast augmentation and liposuction of her abdomen,",0
Closed reduction and pinning of the right ulna with placement of a long-arm cast.,1
"Patient with metastatic non-small-cell lung cancer, on hospice with inferior ST-elevation MI.  The patient from prior strokes has expressive aphasia, is not able to express herself in a clear meaningful fashion.",0
"Patient with suspected nasal obstruction, possible sleep apnea.",0
Excision of left upper cheek skin neoplasm and left lower cheek skin neoplasm with two-layer closure.  Shave excision of the right nasal ala skin neoplasm.,1
A 19-year-old known male with sickle cell anemia comes to the emergency room on his own with 3-day history of back pain.,1
Persistent dysphagia.  Deviated nasal septum.  Inferior turbinate hypertrophy.  Chronic rhinitis. Conductive hearing loss.  Tympanosclerosis.,0
MRI: Right parietal metastatic adenocarcinoma (LUNG) metastasis.,0
Insertion of transvenous pacemaker for tachybrady syndrome,1
"Patient with postnasal drainage, sore throat, facial pain, coughing, headaches, congestion, snoring, nasal burning and teeth pain.",0
Return to work & Fit for duty evaluation.,0
Acute episode of agitation.  She was complaining that she felt she might have been poisoned at her care facility.,0
Right foot trauma.  Three views of the right foot.  Three views of the right foot were obtained.,1
"Herniated nucleus pulposus, C5-C6, with spinal stenosis.  Anterior cervical discectomy with fusion C5-C6.",1
Blepharoplasty with direct brow repair.,1
"The patient has been successful with weight loss due to assistance from others in keeping a food diary, picking lower-calorie items, her three-meal pattern, getting a balanced diet, and all her physical activity.",0
An example/template for meatotomy.,1
"Left mesothelioma, focal.  Left anterior pleural-based nodule, which was on a thin pleural pedicle with no invasion into the chest wall.",1
"Right lower lobectomy, right thoracotomy, extensive lysis of adhesions, mediastinal lymphadenectomy.",1
"Radioactive plaque macular edema.  Removal of radioactive plaque, right eye with lateral canthotomy.  A lid speculum was applied and the conjunctiva was opened 4 mm from the limbus.  A 2-0 traction suture was passed around the insertion of the lateral rectus and the temporal one-half of the globe was exposed.",1
Acute appendicitis and 29-week pregnancy.  Appendectomy.,1
Normal awake and drowsy (stage I sleep) EEG for patient's age.,1
"Status post brain tumor with removal.  The patient did receive skilled speech therapy while in the acute rehab, which focused on higher level cognitive and linguistic skills such as attention, memory, mental flexibility, and improvement of her executive function.",0
"General Medicine SOAP note.  Patient with shoulder bursitis, pharyngitis, attention deficit disorder,",0
Noncontrast CT head due to seizure disorder.,1
Pain and swelling in the right foot.,0
"A female admitted with jaundice and a pancreatic mass who was noted to have a new murmur, bacteremia, and fever.",0
"CT abdomen without contrast and pelvis without contrast, reconstruction.",0
Intrauterine pregnancy at term with previous cesarean.   Desired sterilization.  Status post repeat low transverse cesarean and bilateral tubal ligation.,1
Itchy red rash on feet - Tinea Pedis,1
Whole body PET scanning.,0
Elevated cholesterol and is on medication to lower it.,0
Possible cerebrovascular accident.  The EEG was obtained using 21 electrodes placed in scalp-to-scalp and scalp-to-vertex montages.,0
Tube Shunt  - Ahmed valve model S2 implant with pericardial reinforcement - Sample/Template.,1
"Maculopapular rash in kind of a linear pattern over arms, legs, and chest area which are consistent with a poison ivy or a poison oak.",1
"Numbness and tingling in the right upper extremity, intermittent and related to the positioning of the wrist.  Carpal tunnel syndrome suspected.",1
"Recurrent abscesses in the thigh, as well as the pubic area for at least about 2 years.   In the past, Accutane has been used.",0
Fiberoptic bronchoscopy for diagnosis of right lung atelectasis and extensive mucus plugging in right main stem bronchus.,1
Consultation for jaw pain.,0
The patient needs refills on her Xanax,0
"Left hydrocelectomy, cystopyelogram, bladder biopsy, and fulguration for hemostasis.",1
Patient with a past medical history of atrial fibrillation and arthritis complaining of progressively worsening shortness of breath.,0
"The patient is a 57-year-old female with invasive ductal carcinoma of the left breast, T1c, Nx, M0 left breast carcinoma.",0
Patient discharged after laparoscopic Roux-en-Y gastric bypass.,0
Woman with a history of macular degeneration.  PDT therapy.  Some vision therapy.  Complete refractive work-up.,1
Motor vehicle collision.  CT head without contrast and CT cervical spine without contrast.  Noncontrast axial CT images of the head were obtained.,0
"The patient is a 93-year-old Caucasian female with a past medical history of chronic right hip pain, osteoporosis, hypertension, depression, and chronic atrial fibrillation admitted for evaluation and management of severe nausea and vomiting and urinary tract infection.",0
2-D Echocardiogram,1
Recurrent bladder tumor.  The patient on recent followup cystoscopy for transitional cell carcinomas of the bladder neck was found to have a 5-cm area of papillomatosis just above the left ureteric orifice.,0
"Bilateral Mammogram, (abnormal) additional views requested",0
Colonoscopy.  Change in bowel habits and rectal prolapse.  Normal colonic mucosa to the cecum.,1
Normal newborn infant physical exam.  A well-developed infant in no acute respiratory distress.,0
Obstructive sleep apnea syndrome.  Loud snoring.  Schedule an overnight sleep study.,0
Left flank pain and unable to urinate.,0
Abnormal liver enzymes and diarrhea.  CT pelvis with contrast and ct abdomen with and without contrast.,0
Thoracic epidural steroid injection without fluoroscopy.  An 18-gauge Tuohy needle was then placed into the epidural space using loss of resistance technique.,1
Ruptured appendicitis.,1
"Anterior lumbar fusion, L4-L5, L5-S1, PEEK vertebral spacer, structural autograft from L5 vertebral body, BMP and anterior plate.  Severe low back pain.",1
"Left inguinal hernia repair, left orchiopexy with 0.25% Marcaine, ilioinguinal nerve block and wound block at 0.5% Marcaine plain.",1
3-Dimensional Simulation.  This patient is undergoing 3-dimensionally planned radiation therapy in order to adequately target structures at risk while diminishing the degree of exposure to uninvolved adjacent normal structures.,1
"Normal review of systems template.  Negative weakness, negative fatigue, native malaise, negative chills, negative fever, negative night sweats, negative allergies.",0
"Phacoemulsification of cataract and posterior chamber lens implant, right eye.",1
"The patient is now on his third postoperative day for an open reduction and internal fixation for two facial fractures, as well as open reduction nasal fracture.  He is on his eighth hospital day.",0
Psychiatric History and Physical - Patient with schizoaffective disorder.,0
"Breast reconstruction post mastectomy.  A 51-year-old lady for mastectomy on the right side, who is interested in the possibility of breast reconstruction.",0
"Cystoscopy under anesthesia, bilateral HIT/STING with Deflux under general anesthetic.",1
"Occipital craniotomy, removal of large tumor using the inner hemispheric approach, stealth system operating microscope and CUSA.",1
Newborn circumcision.  The penile foreskin was removed using Gomco.,1
Patient with morbid obesity.,0
Cystoscopy and Bladder biopsy with fulguration.   History of bladder tumor with abnormal cytology and areas of erythema.,1
Left testicular swelling for one day.  Testicular Ultrasound.  Hypervascularity of the left epididymis compatible with left epididymitis.  Bilateral hydroceles.,0
"Normal female review of systems template.  Negative for fever, weight change, fatigue, or aching.",0
"Patient had a recurrent left arm pain after her stent, three days ago, and this persisted after two sublingual nitroglycerin.",1
"Patient with a history of mesothelioma and likely mild dementia, most likely Alzheimer type.",0
Consult for prostate cancer,1
A white female with a history of fevers.,0
Patient with immune thrombocytopenia,0
Ventricular ectopy and coronary artery disease.   He is a 69-year-old gentleman with established history coronary artery disease and peripheral vascular disease with prior stent-supported angioplasty.,1
This is a 95.5-hour continuous video EEG monitoring study.,0
"Insertion of right subclavian central venous catheter.   Need for intravenous access, status post fall, and status post incision and drainage of left lower extremity.",1
"Chronic cholecystitis.   Laparoscopic cholecystectomy.  Patient with increasingly severe more frequent right upper quadrant abdominal pain, more after meals, had a positive ultrasound for significant biliary sludge.",1
"Diagnostic operative arthroscopy with repair and reconstruction of anterior cruciate ligament using autologous hamstring tendon, a 40 mm bioabsorbable femoral pin, and a 9 mm bioabsorbable tibial pin.  Repair of lateral meniscus using two fast fixed meniscal repair sutures.  Partial medial meniscectomy.  Partial chondroplasty of patella.  Lateral retinacular release.  Open medial plication as well of the right knee.",1
"Incision and drainage, first metatarsal head, left foot with culture and sensitivity.",1
Consultation for an ASCUS Pap smear.,0
"Adenocarcinoma of the prostate.  The patient underwent a transrectal ultrasound and biopsy and was found to have a Gleason 3+4 for a score of 7, 20% of the tissue removed from the left base.",0
